TempsKey,ScenarioKey,ProduitKey,stock_initial_qte,stock_initial_prix,stock_initial_montant,stock_initial_prix_net,stock_initial_montant_net,stock_initial_prix_pv,reception_qte,reception_pu,reception_montant,vente_qte,vente_pu,vente_montant,pertes_qte,stock_final_qte,stock_final_prix,stock_final_montant,stock_final_prix_pv,stock_final_montant_net
2,3,14,0.199,1737.559,345.774,507.531,100.999,,14869.823,1669.742,24828764.494,14870.022,533.914,7939315.244,0.0,0.0,1669.743,0.0,552.699,0.0
2,3,15,0.0,0.0,0.0,240.563,0.0,,38933.792,1946.981,75803361.426,38933.792,240.563,9366029.805,0.0,0.0,0.0,0.0,240.563,0.0
2,3,16,18266.541,4452.086,38099603.338,3490.71,31881598.242,,942158.8189999999,4236.9169999999995,1985135909.829,958582.5179999999,3492.661,1675729397.913,4.922,1837.92,4233.168,3947573.335,3490.792,3216488.904
2,3,17,35109.215,4729.326999999999,83492424.351,2555.874,44867372.944,,388149.25399999996,4243.034,814062759.417,415430.979,3531.182,733805245.935,6.355,20975.114999999998,4278.855,16528838.072,3520.302,13777560.925999999
2,3,18,0.0,2639.927,0.0,0.0,0.0,,218640.504,2256.325,493323954.419,218640.444,2242.726,490350638.923,0.06,0.0,2256.325,135.379,0.0,0.0
3,2,2,0.0,1867.401,0.0,240.563,0.0,,464800.0,1686.058,783679553.6,464800.0,240.563,111813682.4,0.0,0.0,1686.058,0.0,240.563,0.0
3,2,3,173252.191,1970.076,132364246.01,118366.541,198.0,,20200.0,1677.442,33884319.499,20200.0,240.563,4859372.6,0.0,173252.191,859.378,148889129.061,240.563,41678066.934
3,2,5,41680.187999999995,4409.009,91905839.558,4015.088,83674800.552,,880420.0,3877.158,1706763844.829,895420.0,4015.088,1797594816.7519999,-0.342,26680.53,3909.0820000000003,52410226.568,4015.088,52410226.568
3,2,6,19675.314000000002,3133.25,354.157,1699.926,109.987,,150000.0,1163.611,174541645.544,150000.0,849.963,127494450.0,0.0,19675.115,1028.681,0.0,1699.926,0.0
3,2,10,251.351,1872.042,470790.871,240.563,60465.751,,45000.0,1686.058,75872590.172,45000.0,240.563,10825335.0,0.0,251.351,1687.096,424053.31,240.563,60465.751
3,2,11,0.199,1779.682,354.157,552.699,109.987,,114199.142,1677.442,41254218.958,552.699,1339.655,15396494.32,0.0,0.199,1677.442,333.811,552.699,109.987
3,2,12,0.001,1815.5,1.325,240.563,0.176,,3771.009,1677.442,6325646.907,3771.009,240.563,907165.194,0.0,0.001,1677.441,1.225,240.563,0.176
3,2,13,0.0,1844.633,0.0,205.449,0.0,,15370.96,1677.442,25783886.849,15370.96,205.449,3157944.179,0.0,0.0,1677.442,0.0,205.449,0.0
3,2,15,19503.353,1908.732,40082929.149,240.563,34328837.752,,39964.496,1677.442,67038105.807,39964.496,240.563,9613978.953,0.0,19503.353,1801.327,35131914.028,240.563,4691785.108
3,2,16,0.0,4165.37,0.0,3490.792,0.0,,1263000.0,3681.842,2325082953.002,1263000.0,3490.792,2204435043.7409997,0.0,0.0,3681.842,0.0,3490.792,0.0
3,2,17,19675.114999999998,4239.144,40458050.97,3520.302,34631164.732999995,,629828.0,3717.818,1170792912.437,630000.0,3520.302,1108894854.33,-0.238,19503.353,3726.438,36373966.964,3520.302,34328837.752
3,2,18,0.0,2202.87,0.0,0.0,0.0,,278000.0,1926.571,535636650.536,278000.0,1981.476,550850200.536,0.0,0.0,1926.571,0.0,240.563,0.0
3,2,25,0.001,26857.083,26.857,240.563,0.241,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
